ID,Project Title,Owner,Owner Type,Status,Country,Assign To
5360,Sky Gardens Tower,Hashem Contracting,-,cold case,Saudi Arabia,Unassigned
5361,Sky Gardens Tower,Hashem Contracting,-,cold case,Saudi Arabia,Unassigned
5362,Skyline Tower,BMCC,-,Lose,Saudi Arabia,Unassigned
5363,Skyline Tower,BMCC,-,Lose,Saudi Arabia,Unassigned
5364,Skyline Tower,BMCC,-,cold case,Saudi Arabia,Unassigned
5365,Soul,BMCC,-,Sent,Saudi Arabia,Mohamed Ali
5366,Soul,BMCC,-,Sent,Saudi Arabia,Mohamed Ali
5367,Soul,BMCC,-,Sent,Saudi Arabia,Mohamed Ali
5368,Soul,BMCC,-,Under Study,Saudi Arabia,Faiza Ahmed
5369,Southwest Transport HUB Project,SAMA Construction,-,Lose,Saudi Arabia,Unassigned
5370,Southwest Transport HUB Project,SAMA Construction,-,Lose,Saudi Arabia,Mohamed Ali
5371,Southwest Transport HUB Project,SAMA Construction,-,Lose,Saudi Arabia,Mohamed Ali
5372,Southwest Transport HUB Project,SAMA Construction,-,Lose,Saudi Arabia,Mohamed Ali
5373,Sport Boulevard Foundation,TAMEAR,-,cold case,Saudi Arabia,Unassigned
5374,Sport Training Facility - PNU,Arabian Housing and Building Contracting Company,-,Lose,Saudi Arabia,Unassigned
5375,Sport Training Facility - PNU,Arabian Housing and Building Contracting Company,-,Lose,Saudi Arabia,Faiza Ahmed
5376,STANDARD RESIDENSE JEDDAH,IHCC,-,Postponed,Saudi Arabia,Nourhan Mohamed
5377,STANDARD RESIDENSE JEDDAH,IHCC,-,Postponed,Saudi Arabia,Nourhan Mohamed
5378,STANDARD RESIDENSE JEDDAH,IHCC,-,Postponed,Saudi Arabia,Nourhan Mohamed
5379,STANDARD RESIDENSE JEDDAH,IHCC,-,Under Study,Saudi Arabia,Unassigned
5380,STC Hotel,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Unassigned
5381,STC Hotel,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Unassigned
5382,STC Hotel,AL SAAD GENERAL CONTRACTING,Contractor,Under Study,Saudi Arabia,Unassigned
5383,STC Hotel,AL SAAD GENERAL CONTRACTING,Contractor,Sent,Saudi Arabia,Mohamed Ali
5384,Sumood Project,BMCC,-,Sent,Saudi Arabia,Mohamed Ali
5385,T171-Rualmadinah-D9A-Asset 5 Construction,Abdulmohsen Al-Tamimi Group,-,cold case,Saudi Arabia,Unassigned
5386,T171-Rualmadinah-D9A-Asset 5 Construction,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5387,T171-Rualmadinah-D9A-Asset 5 Construction,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5388,T171-Rualmadinah-D9A-Asset 5 Construction,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5389,T172 Modon - Development of the Tech City,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5390,T172 Modon - Development of the Tech City,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5391,T172 Modon - Development of the Tech City,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5392,T172 Modon - Development of the Tech City,Abdulmohsen Al-Tamimi Group,-,Sent,Saudi Arabia,Sherouk Ramdan
5393,Tatweer Alarkan,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5394,Tatweer Alarkan,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Unassigned
5395,Tatweer Alarkan,Riyadh Villas Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
5396,The Cove Jeddah,Horizons contracting,-,Lose,Saudi Arabia,Mohamed Ali
5397,THE FIRST INDUSTRIAL ZONE IN JEDDAH,Safar Trading and Contracting Company,-,Postponed,Saudi Arabia,Unassigned
5398,THE FIRST INDUSTRIAL ZONE IN JEDDAH,Safar Trading and Contracting Company,-,Postponed,Saudi Arabia,Unassigned
5399,the Jeddah Logistics Park,EDECS,-,Lose,Saudi Arabia,Mohamed Ali
5400,the Jeddah Logistics Park,EDECS,-,Lose,Saudi Arabia,Mohamed Ali
5401,the military police building,SEDER CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Sherouk Ramdan
5402,the military police building,SEDER CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Sherouk Ramdan
5403,the military police building,SEDER CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Sherouk Ramdan
5404,The new King Abdullah Airport,Safari,-,Lose,Saudi Arabia,Fathy Keshk
5405,The new King Abdullah Airport,Safari,-,Lose,Saudi Arabia,Mohamed Ali
5406,The new King Abdullah Airport,Safari,-,Lose,Saudi Arabia,Mohamed Ali
5407,The new King Abdullah Airport,Safari,-,Lose,Saudi Arabia,Mohamed Ali
5408,The Point Project- ABHA,Built industrial,-,cold case,Saudi Arabia,Faiza Ahmed
5409,The Point Project- ABHA,Built industrial,-,Lose,Saudi Arabia,Nourhan Mohamed
5410,The Point Project- ABHA,Built industrial,-,Lose,Saudi Arabia,Sherouk Ramdan
5411,The Point Project- ABHA,Built industrial,-,Lose,Saudi Arabia,Sherouk Ramdan
5412,The Point Project- ABHA,Built industrial,-,Lose,Saudi Arabia,Sherouk Ramdan
5413,The Red Sea International Airport - Upper Air Ballon Building,Deutschland Technology Limited,-,cold case,Saudi Arabia,Unassigned
5414,The Red Sea International Airport - Upper Air Ballon Building,Deutschland Technology Limited,-,Lose,Saudi Arabia,Mohamed Ali
5415,The Red Sea International Airport - Upper Air Ballon Building,Deutschland Technology Limited,-,Lose,Saudi Arabia,Mohamed Ali
5416,The Red Sea International Airport - Upper Air Ballon Building,Deutschland Technology Limited,-,Lose,Saudi Arabia,Mohamed Ali
5417,"The Ritz-Carlton Residences, Al Khobar",BSCC,-,Sent,Saudi Arabia,Mohamed Ali
5418,"The Ritz-Carlton Residences, Al Khobar",BSCC,-,Sent,Saudi Arabia,Mohamed Ali
5419,"The Ritz-Carlton Residences, Al Khobar",BSCC,-,Sent,Saudi Arabia,Mohamed Ali
5420,"The Ritz-Carlton Residences, Al Khobar",BSCC,-,cold case,Saudi Arabia,Unassigned
5421,the Royal Diriyah Opera House project,El Seif Engineering Contracting Co,-,cold case,Saudi Arabia,Mohamed Ali
5422,the Royal Diriyah Opera House project,El Seif Engineering Contracting Co,-,cold case,Saudi Arabia,Unassigned
5423,TMG H.O. -Tahliya- Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Unassigned
5424,TMG H.O. -Tahliya- Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Mahmoud Hassan
5425,TMG H.O. -Tahliya- Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
5426,TMG H.O. -Tahliya- Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
5427,Town 21,Asala Alkhaleej,-,Lose,Saudi Arabia,Ghaidaa Saad
5428,Town 21,Asala Alkhaleej,-,Lose,Saudi Arabia,Ghaidaa Saad
5429,Town 21,Asala Alkhaleej,-,Lose,Saudi Arabia,Sherouk Ramdan
5430,Trade Exhibitions,-,-,Sent,Saudi Arabia,Unassigned
5431,Trogena,Hassan Allam Construction,-,Postponed,Saudi Arabia,Unassigned
5432,Trogena,Hassan Allam Construction,-,Postponed,Saudi Arabia,Unassigned
5433,Trogena,Hassan Allam Construction,-,Postponed,Saudi Arabia,Unassigned
5434,TSE Al-Hair,KYNZ GENERAL CONTRACTING,-,Sent,Saudi Arabia,Mohamed Ali
5435,TSE Al-Hair,KYNZ GENERAL CONTRACTING,-,Sent,Saudi Arabia,Mohamed Ali
5436,TSE Al-Hair,KYNZ GENERAL CONTRACTING,-,cold case,Saudi Arabia,Mohamed Ali
5437,TSE Al-Hair,KYNZ GENERAL CONTRACTING,-,cold case,Saudi Arabia,Unassigned
5438,Tuwaiq Palace,SATCO,-,cold case,Saudi Arabia,Unassigned
5439,Tuwaiq Palace,SATCO,-,Sent,Saudi Arabia,Mohamed Ali
5440,Tuwaiq Palace,SATCO,-,cold case,Saudi Arabia,Unassigned
5441,Tuwaiq School,Bani Company,-,Sent,Saudi Arabia,Sherouk Ramdan
5442,Uthman Bin Afan Road Project,China State Construction,-,Sent,Saudi Arabia,Mohamed Ali
5443,Uthman bin Affan Road,China State Construction,-,cold case,Saudi Arabia,Faiza Ahmed
5444,View Arch 15 Building,United View for Real Estate Development,-,Lose,Saudi Arabia,Mohamed Ali
5445,Villa ( Pavilions ) Sadaf Resort,Al Hokair Lynx,-,Sent,Saudi Arabia,Fatma Hesham
5446,Villa ( Pavilions ) Sadaf Resort,Al Hokair Lynx,-,Sent,Saudi Arabia,Fatma Hesham
5447,Villa ( Pavilions ) Sadaf Resort,Al Hokair Lynx,-,Sent,Saudi Arabia,Fatma Hesham
5448,Villa ( Pavilions ) Sadaf Resort,Al Hokair Lynx,-,Under Study,Saudi Arabia,Unassigned
5449,VIP Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5450,VIP Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5451,VIP Villa,MARCO,-,Postponed,Saudi Arabia,Unassigned
5452,VIP Villa,MARCO,-,Under Study,Saudi Arabia,Unassigned
5453,Visitor Center Madinah-KEC,Spacemaker Saudi Arabia LLC,-,cold case,Saudi Arabia,Unassigned
5454,VOCO Hotel,AL MABANI AL UMUMIYYAH,Contractor,Lose,Saudi Arabia,Fathy Keshk
5455,VOCO Hotel,AL MABANI AL UMUMIYYAH,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
5456,VOCO Hotel,AL MABANI AL UMUMIYYAH,Contractor,Lose,Saudi Arabia,Mohamed Ali
5457,VOCO Hotel,AL MABANI AL UMUMIYYAH,Contractor,Lose,Saudi Arabia,Nourhan Mohamed
5458,WAAD ALSHAMAL,SAUDI ZAAS CONSTRUCTION COMPANY,-,cold case,Saudi Arabia,Unassigned
5459,WAAED OFFICES & RETAIL PROJECT,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Nourhan Mohamed
5460,WAAED OFFICES & RETAIL PROJECT,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Nourhan Mohamed
5461,WAAED OFFICES & RETAIL PROJECT,Rowad Modern Engineering,-,Under Study,Saudi Arabia,Nourhan Mohamed
5462,WAAED OFFICES & RETAIL PROJECT,Rowad Modern Engineering,-,cold case,Saudi Arabia,Unassigned
5463,Wadi Safar,Freyssinet Saudi Arabia,-,Sent,Saudi Arabia,Nourhan Mohamed
5464,Wadi Safar,Freyssinet Saudi Arabia,-,Sent,Saudi Arabia,Nourhan Mohamed
5465,Wadi Safar,Freyssinet Saudi Arabia,-,Sent,Saudi Arabia,Nourhan Mohamed
5466,Wadi Safar,Freyssinet Saudi Arabia,-,cold case,Saudi Arabia,Ghaidaa Saad
5467,Wadi Safar-Aman Samar Self Performance MEP & Fit out,Shade Corporation Ltd.,-,cold case,Saudi Arabia,Unassigned
5468,Wadi Safar-Aman Samar Self Performance MEP & Fit out,Shade Corporation Ltd.,-,cold case,Saudi Arabia,Unassigned
5469,Wadi Safar-Aman Samar Self Performance MEP & Fit out,Shade Corporation Ltd.,-,cold case,Saudi Arabia,Unassigned
5470,Wadi Safar-Aman Samar Self Performance MEP & Fit out,Shade Corporation Ltd.,-,cold case,Saudi Arabia,Unassigned
5471,Waqf Algeshairi,Kabbani Construction Group,-,cold case,Saudi Arabia,Unassigned
5472,Waqf Algeshairi,Kabbani Construction Group,-,Lose,Saudi Arabia,Nourhan Mohamed
5473,Waqf Algeshairi,Kabbani Construction Group,-,Lose,Saudi Arabia,Unassigned
5474,Waqf Algeshairi,Kabbani Construction Group,-,Lose,Saudi Arabia,Nourhan Mohamed
5475,ware house - Horse Pilot,CCE,-,Lose,Saudi Arabia,Fathy Keshk
5476,ware house - Horse Pilot,CCE,-,Lose,Saudi Arabia,Sherouk Ramdan
5477,ware house - Horse Pilot,CCE,-,cold case,Saudi Arabia,Sherouk Ramdan
5478,WAREHOUSE & BUILDINGS-(AL AHSA),Hashem Contracting,-,Postponed,Saudi Arabia,Unassigned
5479,WAREHOUSE & BUILDINGS-(AL AHSA),Hashem Contracting,-,Postponed,Saudi Arabia,Unassigned
5480,warehouse at Dammam 2nd Industrial City,JABCO,-,cold case,Saudi Arabia,Unassigned
5481,Water supply project at King Abdullah Airport in Jazan,Washnah Contracting Co.,-,Postponed,Saudi Arabia,Unassigned
5482,Wesham,ORAK,-,Sent,Saudi Arabia,Sherouk Ramdan
5483,Wesham,ORAK,-,Sent,Saudi Arabia,Sherouk Ramdan
5484,Wesham,ORAK,-,Postponed,Saudi Arabia,Faiza Ahmed
5485,Wudayhi,Saudi Elaf Company,-,Lose,Saudi Arabia,Faiza Ahmed
5486,Wudayhi,Saudi Elaf Company,-,Lose,Saudi Arabia,Nourhan Mohamed
5487,Wudayhi,Saudi Elaf Company,-,Lose,Saudi Arabia,Nourhan Mohamed
5488,Wudayhi,Saudi Elaf Company,-,Lose,Saudi Arabia,Nourhan Mohamed
5489,Xtreme Zone,Magdi AlNimr,-,Sent,Saudi Arabia,Ahmed Mosbah
5490,Xtreme Zone,Magdi AlNimr,-,Sent,Saudi Arabia,Ghaidaa Saad
5491,Xtreme Zone,Magdi AlNimr,-,Sent,Saudi Arabia,Mahmoud Hassan
5492,Xtreme Zone,Magdi AlNimr,-,Sent,Saudi Arabia,Mohamed Ali
5493,Zaid Abu Hemid,????? | Azdan,-,Lose,Saudi Arabia,Ahmed Mosbah
5494,Zaid Abu Hemid,????? | Azdan,-,Lose,Saudi Arabia,Mohamed Ali
5495,Zaid Abu Hemid,????? | Azdan,-,Lose,Saudi Arabia,Nada Mohamed
5496,ZOOD COMMERCIAL,LPCC,Owner,Sent,Saudi Arabia,Fatma Hesham
5497,ZOOD COMMERCIAL,LPCC,Owner,Sent,Saudi Arabia,Fatma Hesham
5498,ZOOD COMMERCIAL,LPCC,Owner,Sent,Saudi Arabia,Faiza Ahmed
5499,????? ??????? ???????? ???????? ?? ????? ???? (??????? ?????? ????????),Nabatat Contracting Co.,-,cold case,Saudi Arabia,Unassigned
5500,??? ?????,Atheel Contracting,-,Lose,Saudi Arabia,Unassigned
5501,??? ?????,Atheel Contracting,-,Lose,Saudi Arabia,Unassigned
5502,??? ?????,Atheel Contracting,-,Lose,Saudi Arabia,Unassigned
5503,??? ?????,Atheel Contracting,-,Lose,Saudi Arabia,Unassigned
5504,??? ?????,Atheel Contracting,-,Lose,Saudi Arabia,Unassigned
5508,Uptown Jeddah,Afaq,-,Sent,Saudi Arabia,Nourhan Mohamed
5509,SAYYAH REAL ESTATE CO,Sayah Real Estate,Owner,Sent,Saudi Arabia,Nourhan Mohamed
5510,STC Hotel,Riyadh Villas Contracting Company,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
5511,Tower B Fit-Out,Al Mada Towers,-,New,Saudi Arabia,Ahmed Frawelo
5512,Solar Villas Package,Green Oasis Developments,-,New,Saudi Arabia,Maya Qasem
5513,Community Center,Green Oasis Developments,-,New,Saudi Arabia,Maya Qasem
5514,Manufacturing Hub Retrofit,Helix Manufacturing,-,New,Saudi Arabia,Omar Al-Harbi
5520,SAYYAH REAL ESTATE CO,Sayah Real Estate,Owner,Sent,Saudi Arabia,Nourhan Mohamed
5521,SAYYAH REAL ESTATE CO,Sayah Real Estate,Owner,Sent,Saudi Arabia,Nourhan Mohamed
5524,"AL NEMER BUSINESS CENTER in Al Takhasusi, Riyadh, KSA",Gulf Contracting,Contractor,Under Study,Saudi Arabia,Unassigned
5525,"AL NEMER BUSINESS CENTER in Al Takhasusi, Riyadh, KSA",Gulf Contracting,Contractor,Under Study,Saudi Arabia,Unassigned
5526,"AL NEMER BUSINESS CENTER in Al Takhasusi, Riyadh, KSA",Gulf Contracting,Contractor,Under Study,Saudi Arabia,Unassigned
5527,"AL NEMER BUSINESS CENTER in Al Takhasusi, Riyadh, KSA",Gulf Contracting,Contractor,Under Study,Saudi Arabia,Unassigned
