ID,Project Title,Owner,Owner Type,Status,Country,Assign To
4707,Al-Waseel Farm Guest Building,Horizons contracting,Contractor,Sent,Saudi Arabia,Mohamed Ali
4708,Alzal Street Food,Saudi Geo Co,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4709,Alzal Street Food,Saudi Geo Co,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4710,Alzal Street Food,Saudi Geo Co,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4711,Alzal Street Food,Saudi Geo Co,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4712,AL-ZAMIL LABOR CAMP,MAS Engineering and Construction Company Ltd,Contractor,Lose,Saudi Arabia,Mohamed Ali
4713,AL-ZAMIL LABOR CAMP,MAS Engineering and Construction Company Ltd,Contractor,Lose,Saudi Arabia,Mohamed Ali
4714,AL-ZAMIL LABOR CAMP,MAS Engineering and Construction Company Ltd,Contractor,Lose,Saudi Arabia,Mohamed Ali
4715,AMAALA staff village,AMANA Group,Contractor,Lose,Saudi Arabia,Unassigned
4716,Anas Ibn Malik Building,Zaid Alhussain & Brothers Group,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4717,Arafat Villas Project,MBL,Contractor,Postponed,Saudi Arabia,Fatma Hesham
4718,Arafat Villas Project,MBL,Contractor,Sent,Saudi Arabia,Unassigned
4719,Aramco,Alascon Company Limited,Contractor,cold case,Saudi Arabia,Unassigned
4720,Archive building,SAMTEC Contracting Company,Contractor,Lose,Saudi Arabia,Mohamed Ali
4721,Archive building,SAMTEC Contracting Company,Contractor,Lose,Saudi Arabia,Mohamed Ali
4722,Archive building,SAMTEC Contracting Company,Contractor,Lose,Saudi Arabia,Mohamed Ali
4723,AREIC TOWER PROJECT (Riyadh),Hashem Contracting,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4724,AREIC TOWER PROJECT (Riyadh),Hashem Contracting,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4725,Areic Tower-Al Wurud,MOBCO Construction,Contractor,cold case,Saudi Arabia,Unassigned
4726,Areic Tower-Al Wurud,MOBCO Construction,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4727,Areic Tower-Al Wurud,MOBCO Construction,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4728,Areic Tower-Al Wurud,MOBCO Construction,Contractor,Sent,Saudi Arabia,Nourhan Mohamed
4729,Banan City- Infra & Roads - BV1.1&1.2 -Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Faiza Ahmed
4730,Banan City- Infra & Roads - BV1.1&1.2 -Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4731,Banan City- Infra & Roads - BV1.1&1.2 -Riyadh,Thabat Construction,Contractor,Lose,Saudi Arabia,Mohamed Ali
4732,Banan Main Roads,Razek Contracting Company,Contractor,cold case,Saudi Arabia,Unassigned
4733,Banan Main Roads,Razek Contracting Company,Contractor,cold case,Saudi Arabia,Sherouk Ramdan
4734,Banan Project,Construct,Contractor,Lose,Saudi Arabia,Unassigned
4735,Banan project,SQUARE Engineering,Contractor,Lose,Saudi Arabia,Ahmed Mosbah
4736,Banan project,SQUARE Engineering,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4737,Banan project,SQUARE Engineering,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4738,Banan project,SQUARE Engineering,Contractor,Lose,Saudi Arabia,Ghaidaa Saad
4739,Banan Project,Construct,Contractor,Lose,Saudi Arabia,Mohamed Ali
4740,Banan Project,Construct,Contractor,Lose,Saudi Arabia,Mohamed Ali
4741,Banan Project,Construct,Contractor,Lose,Saudi Arabia,Mohamed Ali
4742,Bank tower project,MNC Construction,Contractor,Lose,Saudi Arabia,Unassigned
4743,Bank tower project,MNC Construction,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4744,Bank tower project,MNC Construction,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4745,Basmeh cold store,?First Basics Contracting,Contractor,Lose,Saudi Arabia,Sherouk Ramdan
4746,Basmeh cold store,?First Basics Contracting,Contractor,Sent,Saudi Arabia,Sherouk Ramdan
4747,Basmeh Cold Store Project,Bait El Galeed,Contractor,Sent,Saudi Arabia,Unassigned
4748,Bdryh Alshnan,Bdryh Alshnan,-,Sent,Saudi Arabia,Mahmoud Hassan
4749,BOXOOO,Areeb,Contractor,Lose,Saudi Arabia,Fatma Hesham
4750,BOXOOO,Areeb,Contractor,Lose,Saudi Arabia,Fatma Hesham
4751,BOXOOO,Areeb,Contractor,cold case,Saudi Arabia,Unassigned
4752,BOXOOO,Areeb,Contractor,Lose,Saudi Arabia,Fatma Hesham
4753,BOXOOO,Vision Business Services Co.,Contractor,Sent,Saudi Arabia,Fatma Hesham
4754,BOXOOO,Vision Business Services Co.,Contractor,Sent,Saudi Arabia,Fatma Hesham
